"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"ansvarlignaringsliv.no","ansvarlignaringsliv.no","http://ansvarlignaringsliv.no","","Utenriksdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"ansvarligvertskap.no","ansvarligvertskap.no","http://ansvarligvertskap.no","","Helsedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"antibiotika.no","antibiotika.no","https://www.antibiotika.no","","Helse Bergen Hf","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"antibiotikaresistens.no","antibiotikaresistens.no","http://antibiotikaresistens.no","","Universitetssykehuset Nord-Norge Hf","","Yes","dotgov","No","No","No","","","","","","No"
"anx.no","anx.no","http://anx.no","","Oslo Universitetssykehus Hf","","No","dotgov","No","No","No","","","","","","No"
"apotekmuseet.no","apotekmuseet.no","http://www.apotekmuseet.no","","Norsk Folkemuseum","","Yes","dotgov","No","No","No","","","","","","No"
"apps4norge.no","apps4norge.no","http://apps4norge.no","","Direktoratet For Forvaltning og Ikt","","No","dotgov","No","No","No","","","","","","No"
"arbediehtu.no","arbediehtu.no","http://arbediehtu.no","","Sàmi Allaskuvla Samisk Høgskole","","No","dotgov","No","No","No","","","","","","No"
"arbeidervern.no","arbeidervern.no","http://arbeidervern.no","","Arbeidstilsynet","","No","dotgov","No","No","No","","","","","","No"
"arbeidsdepartementet.no","arbeidsdepartementet.no","http://arbeidsdepartementet.no","","Arbeids- og Sosialdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"arbeidshelsen.no","arbeidshelsen.no","http://www.arbeidshelsen.no","","Statens Arbeidsmiljøinstitutt","","Yes","dotgov","No","No","No","","","","","","No"
"arbeidskontrakt.no","arbeidskontrakt.no","http://arbeidskontrakt.no","","Arbeidstilsynet","","Yes","dotgov","No","No","No","","","","","","No"
"arbeidslivsforum.no","arbeidslivsforum.no","http://www.arbeidslivsforum.no","","Arbeids- og Sosialdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"arbeidslivslovutvalget.no","arbeidslivslovutvalget.no","http://arbeidslivslovutvalget.no","","Arbeids- og Sosialdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"arbeidstidsutvalget.no","arbeidstidsutvalget.no","http://arbeidstidsutvalget.no","","Arbeids- og Sosialdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"arcex.no","arcex.no","http://www.arcex.no","","Universitetet I Tromsø - Norges Arktiske Universitet","","No","dotgov","No","No","No","","","","","","No"
"arcticbc.no","arcticbc.no","http://arcticbc.no","","Universitetet I Tromsø - Norges Arktiske Universitet","","Yes","dotgov","No","No","No","","","","","","No"
