"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"fotavtrykk-telemark.no","fotavtrykk-telemark.no","http://fotavtrykk-telemark.no","","Telemark Fylkeskommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"fotavtrykk.no","fotavtrykk.no","http://fotavtrykk.no","","Telemark Fylkeskommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"fotonettverk-rogaland.no","fotonettverk-rogaland.no","https://fotonettverk-rogaland.no","","Arkivverket","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"fousam.no","fousam.no","http://fousam.no","","Høgskolen Stord/Haugesund","","No","dotgov","No","No","No","","","","","","No"
"fportalen.no","fportalen.no","http://www.fportalen.no","","Forbrukerrådet","","No","dotgov","No","No","No","","","","","","No"
"framandspraksenteret.no","framandspraksenteret.no","https://framandspraksenteret.no","","Høgskolen I Østfold","","No","dotgov","No","Yes","No","No","Yes","Yes","No","No","No"
"framflyt.no","framflyt.no","https://www.framflyt.no","","Sogn og Fjordane Fylkeskommune","Sogn og Fjordane","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"frammr.no","frammr.no","https://frammr.no","","Møre og Romsdal Fylkeskommune","Møre og Romsdal","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"framnorge.no","framnorge.no","http://framnorge.no","","Innovasjon Norge","","No","dotgov","No","No","No","","","","","","No"
"framtidaslokalsjukehus.no","framtidaslokalsjukehus.no","http://framtidaslokalsjukehus.no","","Helse Vest Rhf","","Yes","dotgov","No","No","No","","","","","","No"
"framtidensbyer.no","framtidensbyer.no","http://framtidensbyer.no","","Klima- og Miljødepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"framtidstrondheim.no","framtidstrondheim.no","http://framtidstrondheim.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"frana.kommune.no","frana.kommune.no","https://www.frana.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
