"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"vardobibliotek.no","vardobibliotek.no","http://vardobibliotek.no","","Vardø Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"varfrue.no","varfrue.no","http://www.varfrue.no","","Nidaros Domkirke og Vår Frue Sokn","Sør-Trøndelag","Yes","dotgov","No","No","No","","","","","","No"
"varit.no","varit.no","http://varit.no","","Stjørdal Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"varnes.no","varnes.no","http://varnes.no","","Stjørdal Kommune","Nord-Trøndelag","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"varnesregion.no","varnesregion.no","http://varnesregion.no","","Stjørdal Kommune","Nord-Trøndelag","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"varnesregion1.no","varnesregion1.no","http://varnesregion1.no","","Stjørdal Kommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"varnesregionen.no","varnesregionen.no","https://www.varnesregionen.no","","Stjørdal Kommune","Nord-Trøndelag","No","dotgov","No","Yes","No","No","Yes","Yes","Yes","Yes","No"
"varoy.folkebibl.no","varoy.folkebibl.no","http://varoy.folkebibl.no","","Værøy Kommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"varoy.kommune.no","varoy.kommune.no","https://varoy.kommune.no","","","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"vassenden-skule.no","vassenden-skule.no","http://www.vassenden-skule.no","","Jølster Kommune","Sogn og Fjordane","No","dotgov","No","No","No","","","","","","No"
"vassfardansen.no","vassfardansen.no","http://vassfardansen.no","","Flå Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"vasskrafta.no","vasskrafta.no","http://www.vasskrafta.no","","Norsk Vasskraft- og Industristadmuseum","Hordaland","No","dotgov","No","No","No","","","","","","No"
"vassmyra.no","vassmyra.no","http://vassmyra.no","","Mandal Kommune","Vest-Agder","No","dotgov","No","No","No","","","","","","No"
"vatnebarneskule.no","vatnebarneskule.no","http://vatnebarneskule.no","","Haram Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"vatneungdomsskule.no","vatneungdomsskule.no","http://vatneungdomsskule.no","","Haram Kommune","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"vatnlialeirskole.no","vatnlialeirskole.no","http://vatnlialeirskole.no","","Bodø Kommune","Nordland","No","dotgov","No","No","No","","","","","","No"
"vds.no","vds.no","http://www.vds.no","","Vadsø Kommune","Finnmark","No","dotgov","No","No","No","","","","","","No"
"veakirke.no","veakirke.no","http://veakirke.no","","Karmøy Kirkelig Fellesråd","Rogaland","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"veasiks.no","veasiks.no","http://veasiks.no","","Vestfjorden Avløpsselskap (Veas)","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"vedavaagenkirke.no","vedavaagenkirke.no","http://vedavaagenkirke.no","","Karmøy Kirkelig Fellesråd","Rogaland","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"vedavagenkirke.no","vedavagenkirke.no","http://www.vedavagenkirke.no","","Karmøy Kirkelig Fellesråd","Rogaland","No","dotgov","No","No","No","","","","","","No"
"vefas.no","vefas.no","http://vefas.no","","Vest-Finnmark Avfallsselskap, Oarje-Finnmarkku Rihpafitnodat Vefas Iks","Finnmark","No","dotgov","No","No","No","","","","","","No"
"vefik.no","vefik.no","http://vefik.no","","Vest-Finnmark Kommunerevisjon Iks Oarje-Finnmarkku Suohkanrevisuvdna Sgo","Finnmark","No","dotgov","No","No","No","","","","","","No"
"vefsn-kommune.no","vefsn-kommune.no","http://www.vefsn-kommune.no","","Vefsn Kommune","Nordland","Yes","dotgov","No","No","No","","","","","","No"
"vefsn.kommune.no","vefsn.kommune.no","http://www.vefsn.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
